TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3,SUPP_INFO,CONS_OBJ
Polygon,68147,68147,1,Danube Delta,Danube Delta,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,Not Reported,1,0,1422.74496103965,6470,6277.56208518749,Not Reported,0,Designated,1991,Not Reported,Not Reported,Not Reported,Management plan is implented and available,State Verified,1856,RO-TL,ROU,ROU,Not Applicable,Not Applicable
Polygon,555543060,555543060,1,Comana National Park,Comana National Park,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,(i)(ii)(iii)(iv)(v)(vii)(viii),0,0,0,249.63,249.583991504041,Not Applicable,0,Designated,2011,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,1856,RO-GR,ROU,ROU,Not Applicable,Not Applicable
Polygon,555543061,555543061,1,Poiana Stampei Peat Bog,Poiana Stampei Peat Bog,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,(i)(ii)(iii),0,0,0,6.4,6.44059877417331,Not Applicable,0,Designated,2011,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,1856,RO-SV,ROU,ROU,Not Applicable,Not Applicable
Polygon,555540969,555540969,1,Grădiștea - Căldărușani - Dridu,Grădiștea - Căldărușani - Dridu,Special Protection Area (Birds Directive),Special Protection Area (Birds Directive),Regional,Not Reported,Not Applicable,0,0,0,64.6910009765625,64.6984952635722,Not Applicable,0,Designated,2007,Federal or national ministry or agency,Not Reported,See European Commission Geospatial Data Catalogue for more information - https://sdi.eea.europa.eu/catalogue/srv/api/records/95e717d4-81dc-415d-a8f0-fecdf7e686b0,See European Commission Geospatial Data Catalogue for more information - https://sdi.eea.europa.eu/catalogue/srv/api/records/95e717d4-81dc-415d-a8f0-fecdf7e686b0,State Verified,1832,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,555540970,555540970,1,Grădiștea Muncelului - Ciclovina,Grădiștea Muncelului - Ciclovina,Special Protection Area (Birds Directive),Special Protection Area (Birds Directive),Regional,Not Reported,Not Applicable,0,0,0,381.0680078125,381.159529293164,Not Applicable,0,Designated,2007,Federal or national ministry or agency,Not Reported,See European Commission Geospatial Data Catalogue for more information - https://sdi.eea.europa.eu/catalogue/srv/api/records/95e717d4-81dc-415d-a8f0-fecdf7e686b0,See European Commission Geospatial Data Catalogue for more information - https://sdi.eea.europa.eu/catalogue/srv/api/records/95e717d4-81dc-415d-a8f0-fecdf7e686b0,State Verified,1832,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,555540971,555540971,1,Gruia - Gârla Mare,Gruia - Gârla Mare,Special Protection Area (Birds Directive),Special Protection Area (Birds Directive),Regional,Not Reported,Not Applicable,0,0,0,29.6389990234375,29.6286554812797,Not Applicable,0,Designated,2007,Federal or national ministry or agency,Not Reported,See European Commission Geospatial Data Catalogue for more information - https://sdi.eea.europa.eu/catalogue/srv/api/records/95e717d4-81dc-415d-a8f0-fecdf7e686b0,See European Commission Geospatial Data Catalogue for more information - https://sdi.eea.europa.eu/catalogue/srv/api/records/95e717d4-81dc-415d-a8f0-fecdf7e686b0,State Verified,1832,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,555540972,555540972,1,Hunedoara Timișană,Hunedoara Timișană,Special Protection Area (Birds Directive),Special Protection Area (Birds Directive),Regional,Not Reported,Not Applicable,0,0,0,15.2730004882812,15.2652916718994,Not Applicable,0,Designated,2007,Federal or national ministry or agency,Not Reported,See European Commission Geospatial Data Catalogue for more information - https://sdi.eea.europa.eu/catalogue/srv/api/records/95e717d4-81dc-415d-a8f0-fecdf7e686b0,See European Commission Geospatial Data Catalogue for more information - https://sdi.eea.europa.eu/catalogue/srv/api/records/95e717d4-81dc-415d-a8f0-fecdf7e686b0,State Verified,1832,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,555540973,555540973,1,Ianca - Plopu - Sărat,Ianca - Plopu - Sărat,Special Protection Area (Birds Directive),Special Protection Area (Birds Directive),Regional,Not Reported,Not Applicable,0,0,0,20.335,20.3334197121809,Not Applicable,0,Designated,2007,Federal or national ministry or agency,Not Reported,See European Commission Geospatial Data Catalogue for more information - https://sdi.eea.europa.eu/catalogue/srv/api/records/95e717d4-81dc-415d-a8f0-fecdf7e686b0,See European Commission Geospatial Data Catalogue for more information - https://sdi.eea.europa.eu/catalogue/srv/api/records/95e717d4-81dc-415d-a8f0-fecdf7e686b0,State Verified,1832,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,555540974,555540974,1,Iazurile de pe valea Ibănesei - Bașeului - Podrigăi,Iazurile de pe valea Ibănesei - Bașeului - Podrigăi,Special Protection Area (Birds Directive),Special Protection Area (Birds Directive),Regional,Not Reported,Not Applicable,0,0,0,27.6680004882813,27.6585978297145,Not Applicable,0,Designated,2007,Federal or national ministry or agency,Not Reported,See European Commission Geospatial Data Catalogue for more information - https://sdi.eea.europa.eu/catalogue/srv/api/records/95e717d4-81dc-415d-a8f0-fecdf7e686b0,See European Commission Geospatial Data Catalogue for more information - https://sdi.eea.europa.eu/catalogue/srv/api/records/95e717d4-81dc-415d-a8f0-fecdf7e686b0,State Verified,1832,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,555540975,555540975,1,Iazurile Miheșu de Câmpie - Tăureni,Iazurile Miheșu de Câmpie - Tăureni,Special Protection Area (Birds Directive),Special Protection Area (Birds Directive),Regional,Not Reported,Not Applicable,0,0,0,11.865,11.8695839745765,Not Applicable,0,Designated,2007,Federal or national ministry or agency,Not Reported,See European Commission Geospatial Data Catalogue for more information - https://sdi.eea.europa.eu/catalogue/srv/api/records/95e717d4-81dc-415d-a8f0-fecdf7e686b0,See European Commission Geospatial Data Catalogue for more information - https://sdi.eea.europa.eu/catalogue/srv/api/records/95e717d4-81dc-415d-a8f0-fecdf7e686b0,State Verified,1832,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,555540976,555540976,1,Iezerul Călărași,Iezerul Călărași,Special Protection Area (Birds Directive),Special Protection Area (Birds Directive),Regional,Not Reported,Not Applicable,0,0,0,50.087001953125,50.067485860681,Not Applicable,0,Designated,2007,Federal or national ministry or agency,Not Reported,See European Commission Geospatial Data Catalogue for more information - https://sdi.eea.europa.eu/catalogue/srv/api/records/95e717d4-81dc-415d-a8f0-fecdf7e686b0,See European Commission Geospatial Data Catalogue for more information - https://sdi.eea.europa.eu/catalogue/srv/api/records/95e717d4-81dc-415d-a8f0-fecdf7e686b0,State Verified,1832,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,555540978,555540978,1,Lacul Bugeac,Lacul Bugeac,Special Protection Area (Birds Directive),Special Protection Area (Birds Directive),Regional,Not Reported,Not Applicable,0,0,0,13.8540002441406,13.8470290992081,Not Applicable,0,Designated,2007,Federal or national ministry or agency,Not Reported,See European Commission Geospatial Data Catalogue for more information - https://sdi.eea.europa.eu/catalogue/srv/api/records/95e717d4-81dc-415d-a8f0-fecdf7e686b0,See European Commission Geospatial Data Catalogue for more information - https://sdi.eea.europa.eu/catalogue/srv/api/records/95e717d4-81dc-415d-a8f0-fecdf7e686b0,State Verified,1832,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,555540979,555540979,1,Lacul Dunăreni,Lacul Dunăreni,Special Protection Area (Birds Directive),Special Protection Area (Birds Directive),Regional,Not Reported,Not Applicable,0,0,0,12.6969995117188,12.6896650902867,Not Applicable,0,Designated,2007,Federal or national ministry or agency,Not Reported,See European Commission Geospatial Data Catalogue for more information - https://sdi.eea.europa.eu/catalogue/srv/api/records/95e717d4-81dc-415d-a8f0-fecdf7e686b0,See European Commission Geospatial Data Catalogue for more information - https://sdi.eea.europa.eu/catalogue/srv/api/records/95e717d4-81dc-415d-a8f0-fecdf7e686b0,State Verified,1832,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,555540980,555540980,1,Lacul Gălățui,Lacul Gălățui,Special Protection Area (Birds Directive),Special Protection Area (Birds Directive),Regional,Not Reported,Not Applicable,0,0,0,8.14200012207031,8.13951487719106,Not Applicable,0,Designated,2007,Federal or national ministry or agency,Not Reported,See European Commission Geospatial Data Catalogue for more information - https://sdi.eea.europa.eu/catalogue/srv/api/records/95e717d4-81dc-415d-a8f0-fecdf7e686b0,See European Commission Geospatial Data Catalogue for more information - https://sdi.eea.europa.eu/catalogue/srv/api/records/95e717d4-81dc-415d-a8f0-fecdf7e686b0,State Verified,1832,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,555540981,555540981,1,Lacul Oltina,Lacul Oltina,Special Protection Area (Birds Directive),Special Protection Area (Birds Directive),Regional,Not Reported,Not Applicable,0,0,0,33.0989990234375,33.0810702324414,Not Applicable,0,Designated,2007,Federal or national ministry or agency,Not Reported,See European Commission Geospatial Data Catalogue for more information - https://sdi.eea.europa.eu/catalogue/srv/api/records/95e717d4-81dc-415d-a8f0-fecdf7e686b0,See European Commission Geospatial Data Catalogue for more information - https://sdi.eea.europa.eu/catalogue/srv/api/records/95e717d4-81dc-415d-a8f0-fecdf7e686b0,State Verified,1832,Not Reported,ROU,ROU,Not Applicable,Not Applicable
