Zona Protejata,Latitude,Longitude,Mai multe detalii
Danube Delta,45.29633325,29.3132829807607,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Comana National Park,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Poiana Stampei Peat Bog,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Grădiștea - Căldărușani - Dridu,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Grădiștea Muncelului - Ciclovina,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Gruia - Gârla Mare,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Hunedoara Timișană,46.0312453,21.321098,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Ianca - Plopu - Sărat,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Iazurile de pe valea Ibănesei - Bașeului - Podrigăi,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Iazurile Miheșu de Câmpie - Tăureni,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Iezerul Călărași,44.23591265,27.2573117556188,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Lacul Bugeac,44.0789531,27.4339532430338,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Lacul Dunăreni,44.1937055,27.7696052527417,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Lacul Gălățui,44.2398165,27.1261434150129,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Lacul Oltina,44.158994,27.6371557597385,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Lacul Siutghiol,44.248549,28.5997253448879,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Lacul Stânca Costești,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Lacul Strachina,44.6762902,27.5899773602382,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Lacurile Tașaul - Corbu,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Lacul Techirghiol,44.0373759,28.636194760853,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Lacurile de acumulare de pe Argeș,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Lacurile de acumulare Buhuși - Bacău - Berești,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Lacurile Fălticeni,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
Lacurile Fundata - Amara,,,https://ananp.gov.ro/ariile-naturale-protejate-ale-romaniei/
